epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.2241,2.09992,3.69313,1.39625,0.81398,0.12045,0.14631,0.07675,2.33152,2.48473,1.45298,0.00331081,0.00331081,0.00331081
2,185.948,1.96519,2.24109,1.24108,0.47632,0.16281,0.11967,0.04829,2.31061,3.03605,1.58944,0.00657837,0.00657837,0.00657837
3,275.187,2.16396,2.48176,1.32647,0.09942,0.06278,0.01203,0.00489,3.03274,9.68586,2.12282,0.00977992,0.00977992,0.00977992
4,364.151,2.23302,2.49851,1.37889,0.40844,0.0858,0.03639,0.01523,2.42403,6.91618,1.59891,0.009703,0.009703,0.009703
5,453.226,2.06096,2.14814,1.28249,0.34403,0.29718,0.27314,0.10904,2.08789,2.11275,1.37938,0.009604,0.009604,0.009604
6,541.956,1.86084,1.86647,1.2043,0.63734,0.44015,0.41338,0.30131,1.40884,1.99962,1.16274,0.009505,0.009505,0.009505
7,630.717,1.7585,1.71005,1.15165,0.49915,0.42768,0.37616,0.2067,1.63263,1.83767,1.19378,0.009406,0.009406,0.009406
8,719.151,1.65292,1.57356,1.12121,0.62641,0.65046,0.61973,0.40419,1.05261,1.05492,1.04611,0.009307,0.009307,0.009307
9,807.658,1.59112,1.50188,1.10187,0.57768,0.67289,0.57784,0.36218,1.28311,0.98101,1.09612,0.009208,0.009208,0.009208
10,895.989,1.52823,1.4422,1.08064,0.59361,0.60652,0.5575,0.35119,1.29404,0.91046,1.05466,0.009109,0.009109,0.009109
11,984.532,1.46755,1.39563,1.06339,0.55702,0.51444,0.48265,0.32035,1.09911,1.10115,1.05904,0.00901,0.00901,0.00901
12,1073.22,1.42952,1.35693,1.05164,0.63509,0.63967,0.62665,0.43649,0.9428,0.82675,1.03,0.008911,0.008911,0.008911
13,1161.69,1.39879,1.32218,1.04713,0.6478,0.69855,0.66581,0.49575,0.83076,0.78379,0.99284,0.008812,0.008812,0.008812
14,1250.35,1.36131,1.29889,1.03006,0.61902,0.58135,0.543,0.3998,0.78704,0.95502,1.00703,0.008713,0.008713,0.008713
15,1338.44,1.34749,1.28146,1.03069,0.61602,0.38511,0.41058,0.29745,1.03378,1.33107,1.09092,0.008614,0.008614,0.008614
16,1426.47,1.30942,1.23395,1.01678,0.6227,0.60427,0.55232,0.43446,0.74698,0.85341,1.01158,0.008515,0.008515,0.008515
17,1515.04,1.27904,1.21415,1.00825,0.6288,0.50228,0.50973,0.38383,0.88251,0.99318,1.04592,0.008416,0.008416,0.008416
18,1603.35,1.2602,1.20271,1.0062,0.67883,0.63563,0.62554,0.47618,0.68434,0.72105,0.98655,0.008317,0.008317,0.008317
19,1691.77,1.23905,1.17839,0.99947,0.67076,0.63077,0.6231,0.5017,0.66856,0.74001,0.98499,0.008218,0.008218,0.008218
20,1780.47,1.2315,1.16629,1.00157,0.66848,0.70174,0.65786,0.49214,0.79021,0.67561,0.98452,0.008119,0.008119,0.008119
21,1868.91,1.20161,1.14398,0.98838,0.68863,0.71584,0.67094,0.53783,0.60894,0.64242,0.97985,0.00802,0.00802,0.00802
22,1957.5,1.19386,1.13768,0.98599,0.67193,0.70389,0.66677,0.52821,0.66849,0.67795,0.98803,0.007921,0.007921,0.007921
23,2045.75,1.18028,1.12454,0.98237,0.58114,0.67979,0.61103,0.48965,0.64928,0.73507,0.9885,0.007822,0.007822,0.007822
24,2134.26,1.17996,1.12668,0.98853,0.64721,0.6776,0.64581,0.48521,0.63693,0.62614,0.97771,0.007723,0.007723,0.007723
25,2222.47,1.15431,1.09892,0.98078,0.6866,0.73833,0.70377,0.54067,0.61613,0.61064,0.97246,0.007624,0.007624,0.007624
26,2310.69,1.13951,1.07069,0.9713,0.68684,0.74263,0.71011,0.55481,0.61486,0.59684,0.96921,0.007525,0.007525,0.007525
27,2399.08,1.12165,1.07667,0.97463,0.70177,0.73999,0.71137,0.57146,0.53935,0.55179,0.96764,0.007426,0.007426,0.007426
28,2487.46,1.12316,1.06164,0.96989,0.67074,0.71926,0.68036,0.53041,0.5773,0.6076,0.96966,0.007327,0.007327,0.007327
29,2575.71,1.10747,1.03955,0.96703,0.67546,0.76497,0.70899,0.54729,0.73039,0.56328,0.97493,0.007228,0.007228,0.007228
30,2664.07,1.09047,1.03962,0.96197,0.69749,0.72423,0.71235,0.57513,0.52886,0.54627,0.97013,0.007129,0.007129,0.007129
31,2752.65,1.08521,1.02632,0.9551,0.68504,0.7619,0.71593,0.55296,0.63698,0.55998,0.96629,0.00703,0.00703,0.00703
32,2841.14,1.08392,1.02729,0.95979,0.72112,0.72972,0.71971,0.54569,0.55829,0.57358,0.96879,0.006931,0.006931,0.006931
33,2929.54,1.06929,1.01417,0.95718,0.6953,0.7747,0.72007,0.57801,0.55663,0.58931,0.96284,0.006832,0.006832,0.006832
34,3017.69,1.04967,1.00362,0.9524,0.67425,0.7501,0.71025,0.55146,0.65305,0.5835,0.96746,0.006733,0.006733,0.006733
35,3105.88,1.05609,1.00465,0.95094,0.74009,0.73121,0.73008,0.58612,0.54552,0.52802,0.96597,0.006634,0.006634,0.006634
36,3194.5,1.04513,0.98926,0.95342,0.71107,0.7698,0.73272,0.5877,0.52381,0.51342,0.96172,0.006535,0.006535,0.006535
37,3283.45,1.03606,0.9868,0.94476,0.679,0.77711,0.74184,0.58077,0.49738,0.50533,0.96041,0.006436,0.006436,0.006436
38,3372.1,1.02092,0.97106,0.94504,0.68797,0.78583,0.73213,0.59053,0.48631,0.51776,0.95516,0.006337,0.006337,0.006337
39,3460.55,1.02197,0.96689,0.9429,0.71984,0.73911,0.73731,0.58874,0.52629,0.48493,0.9585,0.006238,0.006238,0.006238
40,3548.86,1.00786,0.94908,0.93841,0.72747,0.75663,0.73739,0.59654,0.47047,0.49459,0.95703,0.006139,0.006139,0.006139
41,3637.15,1.00064,0.95259,0.93835,0.69341,0.78308,0.75266,0.61229,0.46514,0.49265,0.95332,0.00604,0.00604,0.00604
42,3725.6,0.99645,0.94208,0.93384,0.74577,0.75727,0.74212,0.60752,0.50468,0.47807,0.95981,0.005941,0.005941,0.005941
43,3813.8,0.99697,0.92701,0.93472,0.72288,0.7612,0.75177,0.61564,0.46666,0.49299,0.95654,0.005842,0.005842,0.005842
44,3902.39,0.97615,0.9234,0.93426,0.72074,0.77074,0.74884,0.61301,0.44717,0.47752,0.95471,0.005743,0.005743,0.005743
45,3990.68,0.97944,0.92877,0.93443,0.74276,0.76575,0.75668,0.61617,0.47473,0.50142,0.95796,0.005644,0.005644,0.005644
46,4079.13,0.96462,0.90516,0.93623,0.75706,0.74557,0.74964,0.60907,0.44048,0.47891,0.95679,0.005545,0.005545,0.005545
47,4167.23,0.96801,0.89762,0.93225,0.71827,0.78918,0.76912,0.62389,0.45075,0.45438,0.9541,0.005446,0.005446,0.005446
48,4255.4,0.96075,0.90391,0.93038,0.75379,0.76601,0.77924,0.62315,0.49097,0.50592,0.95659,0.005347,0.005347,0.005347
49,4343.64,0.95321,0.90417,0.92697,0.71619,0.78363,0.75622,0.62003,0.48597,0.51542,0.95619,0.005248,0.005248,0.005248
50,4432.16,0.94499,0.90043,0.92776,0.7448,0.75585,0.76665,0.61802,0.50087,0.48198,0.95487,0.005149,0.005149,0.005149
51,4520.27,0.94014,0.88875,0.92611,0.7493,0.76849,0.76299,0.61627,0.50609,0.4711,0.95253,0.00505,0.00505,0.00505
52,4608.54,0.9318,0.8746,0.92107,0.74004,0.77991,0.76753,0.62472,0.47546,0.49586,0.95878,0.004951,0.004951,0.004951
53,4696.92,0.93155,0.87441,0.92185,0.75355,0.7641,0.77585,0.6243,0.50224,0.48853,0.95888,0.004852,0.004852,0.004852
54,4785.14,0.92522,0.87024,0.92122,0.755,0.77095,0.76333,0.62372,0.48728,0.47858,0.95532,0.004753,0.004753,0.004753
