epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.772,2.06213,3.08817,1.61925,0.31401,0.39776,0.2533,0.10389,1.96027,3.69928,1.61722,0.000473115,0.000473115,0.000473115
2,183.372,1.88448,2.21059,1.49161,0.0991,0.16849,0.04115,0.01519,2.49985,10.3084,2.43767,0.000930649,0.000930649,0.000930649
3,272.524,1.71176,1.94186,1.40191,0.69814,0.282,0.2636,0.14835,1.66921,2.04258,1.5193,0.00136932,0.00136932,0.00136932
4,362.077,1.57759,1.72244,1.32205,0.36603,0.35518,0.33349,0.22049,1.42871,1.50336,1.32424,0.00134412,0.00134412,0.00134412
5,451.347,1.38146,1.49215,1.22296,0.45963,0.52217,0.43549,0.32945,0.89342,1.10859,0.95405,0.00131582,0.00131582,0.00131582
6,540.461,1.26323,1.3724,1.16657,0.40261,0.33105,0.30448,0.23634,1.13756,1.41513,1.13694,0.00128753,0.00128753,0.00128753
7,629.19,1.19342,1.28099,1.12524,0.5301,0.58695,0.51874,0.39186,0.73978,0.78484,0.8883,0.00125923,0.00125923,0.00125923
8,718.077,1.13296,1.23108,1.10365,0.54781,0.61725,0.56905,0.44593,0.59929,0.7664,0.83433,0.00123094,0.00123094,0.00123094
9,807.117,1.09783,1.20567,1.09427,0.61818,0.56121,0.52892,0.42963,0.59425,0.74638,0.82017,0.00120265,0.00120265,0.00120265
10,895.859,1.04534,1.17096,1.06614,0.59689,0.59752,0.54689,0.4471,0.55853,0.68517,0.81763,0.00117435,0.00117435,0.00117435
11,984.506,1.01911,1.13733,1.05723,0.63727,0.62173,0.58859,0.45554,0.63023,0.6317,0.82663,0.00114606,0.00114606,0.00114606
12,1073.25,1.01468,1.11732,1.04915,0.58147,0.60357,0.56428,0.43489,0.65927,0.67419,0.82823,0.00111776,0.00111776,0.00111776
13,1162.23,0.98199,1.09896,1.03995,0.64929,0.69338,0.65539,0.50494,0.46022,0.58606,0.79075,0.00108947,0.00108947,0.00108947
14,1251.41,0.95952,1.07699,1.03038,0.64078,0.69633,0.64586,0.51441,0.50565,0.6007,0.79475,0.00106118,0.00106118,0.00106118
15,1340.19,0.92933,1.05987,1.02126,0.63403,0.60268,0.55078,0.45162,0.55711,0.70723,0.81263,0.00103288,0.00103288,0.00103288
